127.0.0.1 - - [01/Oct/2018:12:21:13 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [01/Oct/2018:12:21:14 +0530] "GET /ICal/Scripts/IManager/liveIndex.js HTTP/1.1" 304 -
192.168.1.72 - - [01/Oct/2018:12:21:25 +0530] "GET /ICal/ HTTP/1.1" 200 4383
192.168.1.72 - - [01/Oct/2018:12:21:25 +0530] "GET /ICal/systemjs/1.2.9_angular.min.js HTTP/1.1" 200 100183
192.168.1.72 - - [01/Oct/2018:12:21:25 +0530] "GET /ICal/systemjs/1.2.9_angular-route.min.js HTTP/1.1" 200 3897
192.168.1.72 - - [01/Oct/2018:12:21:25 +0530] "GET /ICal/systemjs/2.0.11_ng-grid.min.js HTTP/1.1" 200 69921
192.168.1.72 - - [01/Oct/2018:12:21:25 +0530] "GET /ICal/systemjs/0.2.14_angular-ui-router.min.js HTTP/1.1" 200 29869
192.168.1.72 - - [01/Oct/2018:12:21:25 +0530] "GET /ICal/systemjs/3.2.1_jquery.min.js HTTP/1.1" 200 86661
192.168.1.72 - - [01/Oct/2018:12:21:25 +0530] "GET /ICal/Scripts/IManager/liveIndex.js HTTP/1.1" 200 3957
192.168.1.72 - - [01/Oct/2018:12:21:25 +0530] "GET /ICal/Scripts/IManager/newIndex.js HTTP/1.1" 200 4345
192.168.1.72 - - [01/Oct/2018:12:21:25 +0530] "GET /ICal/Scripts/IManager/iManagerService.js HTTP/1.1" 200 7867
192.168.1.72 - - [01/Oct/2018:12:21:25 +0530] "GET /ICal/systemcss/2.0.11_ng-grid.min.css HTTP/1.1" 200 7741
192.168.1.72 - - [01/Oct/2018:12:21:25 +0530] "GET /ICal/css/nav.css HTTP/1.1" 200 1192
192.168.1.72 - - [01/Oct/2018:12:21:25 +0530] "GET /ICal/Scripts/IManager/runIndex.js HTTP/1.1" 200 4430
192.168.1.72 - - [01/Oct/2018:12:21:25 +0530] "GET /ICal/Scripts/IManager/securitypopup.js HTTP/1.1" 200 2186
192.168.1.72 - - [01/Oct/2018:12:21:25 +0530] "GET /ICal/Scripts/IManager/runIndexPopUp.js HTTP/1.1" 200 826
192.168.1.72 - - [01/Oct/2018:12:21:25 +0530] "GET /ICal/Scripts/IManager/sManagerService.js HTTP/1.1" 200 1263
192.168.1.72 - - [01/Oct/2018:12:21:25 +0530] "GET /ICal/Scripts/IManager/upcomingIndex.js HTTP/1.1" 200 5700
192.168.1.72 - - [01/Oct/2018:12:21:25 +0530] "GET /ICal/Scripts/IndexSubmission/index.js HTTP/1.1" 200 5529
192.168.1.72 - - [01/Oct/2018:12:21:25 +0530] "GET /ICal/Scripts/IndexSubmission/index2.js HTTP/1.1" 200 2631
192.168.1.72 - - [01/Oct/2018:12:21:25 +0530] "GET /ICal/Scripts/SManager/currency.js HTTP/1.1" 200 4345
192.168.1.72 - - [01/Oct/2018:12:21:25 +0530] "GET /ICal/Scripts/SManager/smanager.js HTTP/1.1" 200 1246
192.168.1.72 - - [01/Oct/2018:12:21:25 +0530] "GET /ICal/Scripts/SManager/security.js HTTP/1.1" 200 5733
192.168.1.72 - - [01/Oct/2018:12:21:25 +0530] "GET /ICal/js/mainController.js HTTP/1.1" 200 93
192.168.1.72 - - [01/Oct/2018:12:21:25 +0530] "GET /ICal/js/app.js HTTP/1.1" 200 5242
192.168.1.72 - - [01/Oct/2018:12:21:25 +0530] "GET /ICal/images/logo.png HTTP/1.1" 200 3007
192.168.1.72 - - [01/Oct/2018:12:21:28 +0530] "GET /ICal/templates/ISubmission.html HTTP/1.1" 200 326
192.168.1.72 - - [01/Oct/2018:12:21:29 +0530] "GET /ICal/templates/IndexSubmission/IndexSetup.html HTTP/1.1" 200 5816
192.168.1.72 - - [01/Oct/2018:12:21:31 +0530] "GET /ICal2Rest/rest/client/getAllClients HTTP/1.1" 200 19343
192.168.1.72 - - [01/Oct/2018:12:21:31 +0530] "GET /ICal2Rest/rest/currency/getCurrencies HTTP/1.1" 200 34059
192.168.1.72 - - [01/Oct/2018:12:21:31 +0530] "GET /ICal2Rest/rest/currency/getCurrencies HTTP/1.1" 200 34059
192.168.1.72 - - [01/Oct/2018:12:21:31 +0530] "GET /ICal2Rest/rest/client/getAllClients HTTP/1.1" 200 19343
192.168.1.72 - - [01/Oct/2018:12:21:33 +0530] "GET /ICal/templates/IManager.html HTTP/1.1" 200 407
192.168.1.72 - - [01/Oct/2018:12:21:34 +0530] "GET /ICal/templates/CommonPages/gridControl.html HTTP/1.1" 200 1133
192.168.1.72 - - [01/Oct/2018:12:21:34 +0530] "POST /ICal2Rest/rest/index/getnewindex HTTP/1.1" 200 416
192.168.1.72 - - [01/Oct/2018:12:21:36 +0530] "POST /ICal2Rest/rest/index/getupcomongindex HTTP/1.1" 200 2
192.168.1.72 - - [01/Oct/2018:12:21:37 +0530] "POST /ICal2Rest/rest/index/getrunindex HTTP/1.1" 200 2
192.168.1.72 - - [01/Oct/2018:12:21:39 +0530] "POST /ICal2Rest/rest/index/getliveindex HTTP/1.1" 200 1342
192.168.1.72 - - [01/Oct/2018:12:21:44 +0530] "GET /ICal/systemjs/angular.min.js.map HTTP/1.1" 404 1114
192.168.1.72 - - [01/Oct/2018:12:21:44 +0530] "GET /ICal/systemjs/angular-route.min.js.map HTTP/1.1" 404 1120
192.168.1.72 - - [01/Oct/2018:12:22:15 +0530] "GET /ICal2Rest/rest/currency/getCurrencies HTTP/1.1" 200 34059
192.168.1.72 - - [01/Oct/2018:12:22:15 +0530] "GET /ICal2Rest/rest/client/getAllClients HTTP/1.1" 200 19343
192.168.1.72 - - [01/Oct/2018:12:22:15 +0530] "GET /ICal2Rest/rest/client/getAllClients HTTP/1.1" 200 19343
192.168.1.72 - - [01/Oct/2018:12:22:15 +0530] "GET /ICal2Rest/rest/currency/getCurrencies HTTP/1.1" 200 34059
192.168.1.72 - - [01/Oct/2018:12:22:35 +0530] "GET /ICal/systemjs/angular.min.js.map HTTP/1.1" 404 1114
192.168.1.72 - - [01/Oct/2018:12:22:35 +0530] "GET /ICal/systemjs/angular-route.min.js.map HTTP/1.1" 404 1120
192.168.1.72 - - [01/Oct/2018:12:23:21 +0530] "GET /ICal/templates/CommonPages/fileUpload.html HTTP/1.1" 200 504
192.168.1.72 - - [01/Oct/2018:12:23:23 +0530] "GET /ICal2Rest/rest/client/getAllClients HTTP/1.1" 200 19343
192.168.1.72 - - [01/Oct/2018:12:23:23 +0530] "GET /ICal2Rest/rest/currency/getCurrencies HTTP/1.1" 200 34059
192.168.1.72 - - [01/Oct/2018:12:23:23 +0530] "GET /ICal2Rest/rest/client/getAllClients HTTP/1.1" 200 19343
192.168.1.72 - - [01/Oct/2018:12:23:23 +0530] "GET /ICal2Rest/rest/currency/getCurrencies HTTP/1.1" 200 34059
192.168.1.72 - - [01/Oct/2018:12:23:26 +0530] "GET /ICal/systemjs/angular.min.js.map HTTP/1.1" 404 1114
192.168.1.72 - - [01/Oct/2018:12:23:26 +0530] "GET /ICal/systemjs/angular-route.min.js.map HTTP/1.1" 404 1120
